type	latitude	longitude	altitude	name	desc
T	46.054910000	-123.670640000	390.0		
T	46.054550000	-123.670130000	398.4		
T	46.054470000	-123.669960000	405.7		
T	46.054470000	-123.669940000	406.9		
T	46.054270000	-123.669400000	405.5		
T	46.054050000	-123.668540000	399.5		
T	46.053750000	-123.667640000	413.4		
T	46.053150000	-123.665000000	450.3		
T	46.053140000	-123.664790000	449.9		
T	46.053170000	-123.664550000	447.7		
T	46.053530000	-123.663370000	461.7		
T	46.053600000	-123.662940000	470.3		
T	46.053590000	-123.662540000	482.1		
T	46.053440000	-123.661530000	504.0		
T	46.053500000	-123.661160000	510.9		
T	46.053780000	-123.660310000	525.0		
T	46.053830000	-123.660080000	532.8		
T	46.053830000	-123.659970000	535.8		
T	46.053790000	-123.659810000	540.9		
T	46.053760000	-123.659760000	542.1		
T	46.053740000	-123.659750000	543.3		
T	46.053690000	-123.659690000	545.1		
T	46.053650000	-123.659660000	547.2		
T	46.053590000	-123.659640000	550.9		
T	46.053590000	-123.659630000	550.7		
T	46.053200000	-123.659600000	566.0		
T	46.053090000	-123.659570000	570.0		
T	46.052950000	-123.659490000	572.4		
T	46.052820000	-123.659360000	576.5		
T	46.052500000	-123.658910000	582.2		
T	46.052340000	-123.658790000	587.1		
T	46.051820000	-123.658550000	609.1		
T	46.051660000	-123.658450000	614.9		
T	46.051650000	-123.658450000	615.5		
T	46.051450000	-123.658340000	623.4		
T	46.051140000	-123.658230000	632.4		
T	46.050960000	-123.658190000	638.5		
T	46.050950000	-123.658180000	638.1		
T	46.050890000	-123.658160000	638.7		
T	46.050800000	-123.658100000	638.5		
T	46.050710000	-123.658000000	638.0		
T	46.050610000	-123.657840000	638.7		
T	46.050570000	-123.657730000	639.7		
T	46.050550000	-123.657450000	640.9		
T	46.050640000	-123.656950000	637.7		
T	46.050600000	-123.656760000	642.5		
T	46.050550000	-123.656660000	646.9		
T	46.050480000	-123.656580000	653.1		
T	46.050450000	-123.656560000	655.7		
T	46.050440000	-123.656560000	656.7		
T	46.050350000	-123.656500000	660.6		
T	46.049760000	-123.656220000	668.9		
T	46.049600000	-123.656180000	672.6		
T	46.049480000	-123.656180000	675.5		
T	46.049390000	-123.656210000	678.7		
T	46.049120000	-123.656460000	690.0		
T	46.049070000	-123.656490000	691.1		
T	46.049030000	-123.656530000	692.3		
T	46.048910000	-123.656610000	693.8		
T	46.048050000	-123.656970000	698.6		
T	46.048020000	-123.656970000	698.5		
T	46.047960000	-123.657000000	699.0		
T	46.047870000	-123.657010000	699.1		
T	46.047850000	-123.657020000	699.3		
T	46.047720000	-123.657040000	699.7		
T	46.046010000	-123.657040000	725.4		
T	46.045870000	-123.656980000	730.0		
T	46.045810000	-123.656930000	731.5		
T	46.045720000	-123.656820000	732.6		
T	46.045530000	-123.656460000	724.0		
T	46.045530000	-123.656450000	723.8		
T	46.045510000	-123.656420000	723.2		
T	46.045440000	-123.656240000	719.4		
T	46.045420000	-123.656220000	719.3		
T	46.045300000	-123.655760000	711.3		
T	46.045200000	-123.655000000	704.0		
T	46.045190000	-123.654990000	703.7		
T	46.045150000	-123.654800000	701.0		
T	46.044950000	-123.654430000	693.2		
T	46.044510000	-123.653980000	683.9		
T	46.044290000	-123.653810000	681.7		
T	46.043980000	-123.653470000	677.5		
T	46.043910000	-123.653340000	677.5		
T	46.043810000	-123.653070000	679.3		
T	46.043610000	-123.652660000	678.6		
T	46.043470000	-123.652510000	676.5		
T	46.043470000	-123.652500000	676.9		
T	46.041910000	-123.651360000	675.2		
T	46.041750000	-123.651280000	674.0		
T	46.041700000	-123.651270000	673.5		
T	46.041690000	-123.651260000	673.6		
T	46.041510000	-123.651230000	671.6		
T	46.041150000	-123.651260000	662.4		
T	46.041140000	-123.651270000	661.6		
T	46.041050000	-123.651270000	658.4		
T	46.040880000	-123.651240000	645.1		
T	46.040700000	-123.651130000	629.4		
T	46.040640000	-123.651070000	627.6		
T	46.040640000	-123.651060000	628.3		
T	46.040200000	-123.650660000	608.7		
T	46.039930000	-123.650370000	603.5		
T	46.039800000	-123.650160000	604.1		
T	46.039500000	-123.649460000	615.8		
T	46.039410000	-123.649360000	616.5		
T	46.039290000	-123.649260000	616.9		
T	46.039210000	-123.649230000	617.8		
T	46.038720000	-123.649170000	619.5		
T	46.038480000	-123.649110000	620.0		
T	46.038380000	-123.649060000	618.2		
T	46.038240000	-123.648920000	623.6		
T	46.038120000	-123.648750000	632.9		
T	46.037680000	-123.647930000	654.9		
T	46.037530000	-123.647480000	667.1		
T	46.037160000	-123.646010000	674.8		
T	46.037150000	-123.646000000	673.6		
T	46.037070000	-123.645650000	678.1		
T	46.036920000	-123.645370000	672.7		
T	46.036890000	-123.645340000	670.9		
T	46.036890000	-123.645330000	671.6		
T	46.036850000	-123.645280000	670.3		
T	46.036790000	-123.645230000	667.1		
T	46.036420000	-123.645110000	638.6		
